Ligand_Name,Best_Score,Second_Score,Third_Score
bietamiverine_3025,-11.547,-11.349,-10.952
bietaserpine_3687,-16.459,-15.897,-15.341
bifemelane_369,-11.838,-10.498,-10.431
bifluranol_3026,-11.928,-11.375,-11.125
bifonazole_370,-13.428,-12.970,-12.657
bilastine_4353,-17.082,-15.153
bimatoprost_371,-12.989,-12.767,-12.294
binifibrate_372,-14.495,-14.271,-14.249
binimetinib_5290,-11.658,-11.609,-11.226
bioallethrin_4354,-11.521,-11.506,-11.396
biotin_373,-8.255,-8.186,-7.931
biperiden_374,-13.498,-12.129,-12.088
biphenylol_4768,-8.809,-8.786,-7.567
biriperone_3883,-14.616,-14.495,-13.548
bisacodyl_375,-12.721,-12.689,-12.491
bisantrene_376,-13.080,-12.992,-12.224
bisaramil_377,-10.388,-10.329,-10.188
bisbentiamine_378,-14.752,-13.889,-13.712
bisdequaliniumchloride_3030,-12.121,-12.083,-12.057
bisoctrizole_3031,-16.643,-15.979,-15.638
bisoprolol_380,-10.915,-10.905,-10.817
bisorcic_381,-7.882,-7.498,-7.201
bisoxatin_4356,-12.260,-12.151,-11.950
bisoxatinacetate_382,-14.524,-14.212,-13.846
bisulepine_383,-10.467,-10.258,-9.767
bithionol_3032,-10.331,-10.114,-9.192
bitolterol_384,-16.243,-15.448,-15.206
bitoscanate_3033,-6.204,-6.203,-6.096
bivalirudin_385,316.608
blonanserin_388,-13.344,-12.920,-12.910
boceprevir_4172,-15.375,-15.092,-13.908
bolandioldipropionate_3034,-13.268,-13.190,-11.980
boldenoneundecylenate_5631,-13.971,-12.516,-11.994
bopindolol_389,-12.969,-12.801,-12.728
bornaprine_390,-13.799,-12.515,-12.293
bosentan_392,-16.173,-15.851,-15.846
bosutinib_4359,-14.735,-14.573,-12.124
brallobarbital_393,-8.847,-8.681,-7.881
bremelanotide_5329,-20.061,-18.440,-18.232
bretylium_394,-7.930,-7.909,-7.141
brexanolone_5324,-13.518,-13.115,-12.073
brexpiprazole_5014,-14.544,-12.759
brigatinib_5233,-13.666,-13.279,-12.961
brilliantBlueG_5359,-17.477,-16.007,-14.812
brilliantgreen_4665,-14.470,-14.455,-13.761
brimonidine_395,-9.082,-8.708,-7.960
brinzolamide_396,-10.247,-10.123,-9.880
brivaracetam_5068,-8.228,-8.065,-7.687
brivudine_397,-9.545,-9.505,-8.558
brodimoprim_398,-9.772,-9.543,-9.475
bromazepam_399,-9.029,-8.930,-8.850
bromazine_404,-11.420,-10.409,-10.101
bromebricacid_400,-8.923,-8.661,-7.760
bromfenac_401,-10.800,-10.538,-10.318
bromhexine_402,-9.471,-9.044,-8.997
bromindione_3037,-10.403,-9.935,-9.489
bromisoval_3038,-6.624,-6.329,-5.719
bromochlorosalicylanilide_3040,-10.027,-9.798,-9.394
bromocriptine_403,-17.337,-14.925
bromoform_405,-3.339,-3.140,-2.847
bromopride_406,-10.047,-10.032,-9.263
bromperidol_407,-13.639,-13.277,-12.833
brompheniramine_408,-9.265,-9.076,-9.065
bropirimine_3689,-8.667,-7.599,-7.497
brotizolam_409,-10.649,-10.506,-10.279
brovanexine_410,-14.373,-14.330,-14.270
brovincamine_411,-12.648,-12.484,-12.384
broxuridine_3042,-8.570,-8.502,-7.881
broxyquinoline_412,-7.290,-7.289,-6.643
bucetin_413,-8.825,-8.318,-8.073
bucillamine_414,-7.049,-6.663,-5.944
bucladesine_415,-14.535,-13.239,-12.756
buclizine_416,-16.412,-15.406,-14.998
buclosamide_3043,-8.691,-8.509,-7.740
bucloxicacid_417,-11.190,-11.069,-10.521
bucolome_3044,-10.065,-9.753,-9.627
bucricaine_3884,-10.949,-10.200,-9.906
bucumolol_418,-11.531,-10.975,-10.653
budesonide_419,-15.254,-14.989,-14.286
budipine_420,-12.304,-12.145,-11.792
budralazine_421,-9.880,-9.715,-9.149
bufeniode_3045,-12.985,-12.260,-11.398
bufetolol_3046,-11.635,-11.609,-10.918
bufexamac_3047,-8.902,-8.849,-8.217
buflomedil_422,-10.931,-10.050,-10.040
bufogenin_3523,-15.372,-14.575,-14.020
buformin_423,-6.343,-5.970,-5.613
bufuralol_424,-10.500,-10.498,-9.928
bulaquine_425,-13.168,-12.980,-11.844
bumadizone_426,-12.177,-12.101,-11.872
bumetanide_427,-11.546,-11.496,-11.194
bunaftine_428,-12.906,-12.283,-12.166
bunamidine_5641,-10.956,-10.751,-10.438
bunamiodyl_3048,-10.579,-10.327,-10.301
bunazosin_429,-12.843,-12.135,-11.873
bunitrolol_430,-9.783,-9.274,-8.978
buphenine_1976,-12.353,-12.249,-11.694
bupivacaine_432,-10.695,-10.438,-10.373
