Ligand_Name,Best_Score,Second_Score,Third_Score
rolapitant_5027,-16.151,-15.848,-15.730
ruboxistaurin_3533,-16.145,-15.424,-15.378
temoporfin_2588,-16.140,-16.097,-16.091
difenoxin_878,-16.136,-15.825,-15.709
darifenacin_784,-16.132,-15.499,-14.563
rifampicin_2377,-16.123,-16.098,-16.030
zinostatin_4108,-16.122,-15.084,-14.800
benidipine_3880,-16.119,-15.786,-15.770
lubabegron_5568,-16.111,-15.851,-13.853
nicomol_1917,-16.110,-14.787,-14.084
lefamulin_5348,-16.106,-16.064,-15.924
ormeloxifene_570,-16.106,-15.362,-14.833
repaglinide_2366,-16.096,-15.390,-15.280
gallamine_1273,-16.094,-15.519,-15.349
desoxycorticosteronepivalate_822,-16.092,-15.565,-14.324
buprenorphine_434,-16.083,-15.221,-15.128
alectinib_4937,-16.082,-14.204
proglumetacin_2280,-16.078,-15.882,-15.746
dimethyltubocurarinium_908,-16.071,-15.810,-14.744
alvimopan_143,-16.067,-15.373,-14.847
lufenuron_5569,-16.060,-14.241,-14.159
niceritrol_1911,-16.058,-15.923,-15.238
prednisolonetebutate_2251,-16.051,-15.883,-14.426
piritramide_3478,-16.048,-15.381,-15.294
difluprednate_3142,-16.047,-15.807,-15.731
ulobetasolpropionate_1349,-16.044,-15.721,-15.363
paromomycin_2067,-16.039,-14.021,-13.134
betamethasonebutyratepropionate_352,-16.038,-15.751,-15.606
lividomycin_1589,-16.037,-15.354,-15.124
atazanavir_254,-16.002,-15.589,-15.416
daclatasvir_4875,-15.999,-15.996,-15.020
framycetin_1896,-15.990,-14.284,-13.046
fostamatinib_5280,-15.987
tolvaptan_4110,-15.973,-15.945,-15.189
valrubicin_2805,-15.967,-15.898,-14.870
trifarotene_5350,-15.957,-15.936,-14.945
diflorasonediacetate_4485,-15.947,-15.832,-15.689
gemigliptin_4833,-15.947,-15.723,-15.465
elexacaftor_5372,-15.939,-15.519,-14.280
atorvastatin_257,-15.930,-13.777,-13.176
ibrutinib_4810,-15.922,-15.788,-13.630
sulfobromophthalein_2531,-15.916,-15.221,-15.156
lapatinib_1548,-15.913,-15.702,-15.062
glucametacin_1306,-15.912,-14.647,-13.975
flurithromycin_1221,-15.904,-15.780,-15.622
selamectin_5617,-15.902,-15.849,-15.676
acarbose_39,-15.899,-14.535,-14.327
selenium75Setauroselcholicacid_4059,-15.892,-14.194,-13.444
tiamulin_5628,-15.889,-15.858,-15.436
hepronicate_1359,-15.883,-15.564,-14.181
lucimycin_3329,-15.883,-15.126,-14.781
prednisolonevalerateacetate_2252,-15.881,-15.613,-15.588
trenbolonehexahydrobenzylcarbonate_5065,-15.868,-15.343,-14.428
fosamprenavir_1240,-15.867,-15.277,-15.240
dihydrotachysterol_2841,-15.859,-14.902,-14.651
difebarbamate_876,-15.855
triamcinolonediacetate_2727,-15.850,-15.061,-14.571
colforsindaropate_729,-15.846,-15.200,-15.109
terconazole_2599,-15.845,-13.070
carfilzomib_4483,-15.844,-15.536,-15.475
ketoconazole_1527,-15.842,-14.417,-13.146
manidipine_1631,-15.837,-14.520,-14.447
rifaximin_2379,-15.836,-15.592,-15.557
suvorexant_4881,-15.831,-15.572,-15.513
dabrafenib_4801,-15.828,-15.702,-15.638
levocabastine_1564,-15.827,-15.793,-15.469
rokitamycin_2398,-15.825,-15.774,-15.714
efrotomycin_5529,-15.822,-15.350,-15.132
talampicillin_2554,-15.820,-15.459,-14.527
ganirelix_1279,-15.819
butropium_456,-15.815,-15.406,-13.533
methylprednisoloneaceponate_1769,-15.813,-15.313,-15.056
vemurafenib_4185,-15.810
orlistat_1996,-15.794,-13.563
laidlomycinpropionatepotassium_5564,-15.790,-15.612,-15.603
hydrocortisoneaceponate_1389,-15.788,-15.216,-14.916
amrubicin_202,-15.787,-14.874,-14.786
mozavaptan_4004,-15.786,-14.931,-14.708
fluazacort_3231,-15.785,-14.862,-14.790
exatecan_1120,-15.778,-14.417,-14.231
tixocortol_4064,-15.773,-15.507,-14.482
lofepramine_1592,-15.772,-15.695,-15.534
melphalanflufenamide_5445,-15.770,-14.079
dexamethasonephosphate_3920,-15.762,-15.063,-14.899
ceftazidime_559,-15.761,-13.189
lurasidone_4168,-15.761,-15.597,-15.472
testosteroneenantate_4609,-15.760,-15.154,-13.091
lonafarnib_5414,-15.758,-14.733,-14.132
relugolix_5432,-15.755,-14.240,-14.201
nicofuranose_1916,-15.751,-13.376,-13.251
betamethasonephosphate_4667,-15.748,-15.088,-14.920
acetyldigoxin_68,-15.737,-15.714,-15.601
nilotinib_1932,-15.734,-14.532,-12.903
trifluperidol_2741,-15.733,-15.369,-13.933
clazosentan_5518,-15.728,-15.211,-14.134
hydrocortisonesuccinate_4456,-15.724,-15.587,-15.391
flunarizine_1200,-15.718,-15.281
gestonoronecaproate_3261,-15.713,-14.930,-14.915
clobetasolpropionate_4452,-15.708,-15.154,-15.048
hydrocortisonebutyrate_3959,-15.704,-14.608,-14.508
deflazacort_793,-15.692,-14.698,-14.618
prednisolonesuccinate_2246,-15.688,-15.580,-15.399
nefazodone_1890,-15.684
eravacyclinedihydrochloride_5294,-15.676,-15.030,-14.215
omacetaxinemepesuccinate_4677,-15.664,-15.508,-15.358
oxaflumazine_3803,-15.659,-15.089,-14.942
cobicistat_4299,-15.655,-15.193,-14.976
trypanblue_4608,-15.650,-15.619,-15.533
carotegrastmethyl_5688,-15.644,-13.270,-13.160
clocinizine_688,-15.642,-14.460,-12.883
piperacillin_2187,-15.640,-14.907,-14.826
argatroban_239,-15.639,-14.501,-14.357
dasabuvir_4914,-15.633,-15.350,-14.713
isavuconazonium_4947,-15.631,-15.474,-14.336
dihydroemetine_3129,-15.619,-15.066,-14.087
mifepristone_1805,-15.619,-15.392,-15.275
raloxifene_2351,-15.609,-15.295,-15.253
nicardipine_1909,-15.601,-15.178,-15.145
aprepitant_230,-15.595,-15.458,-15.042
sorbinicate_2460,-15.595,-15.567,-15.479
tibezonium_2654,-15.590,-14.853,-14.130
delapril_798,-15.586,-15.557,-15.137
doxercalciferol_957,-15.574,-15.254,-14.947
lasofoxifene_4308,-15.570,-14.904,-14.898
ixabepilone_1517,-15.567,-14.865,-14.657
gamithromycin_5548,-15.564,-15.449,-15.368
flumetasoneacetate_5544,-15.555,-15.157,-14.608
bictegravir_5274,-15.554,-15.017,-14.213
secalciferol_2426,-15.538,-15.432,-14.924
glycerolphenylbutyrate_4745,-15.532,-14.156,-13.517
esaxerenone_5490,-15.531,-15.238,-14.986
linagliptin_4175,-15.528,-15.076,-14.984
selexipag_5077,-15.514,-12.966,-12.696
dacomitinib_5297,-15.512,-14.851
pentacyniumchloride_3806,-15.511,-14.756,-13.313
trametinib_4802,-15.511,-15.451,-15.194
etelcalcetide_5181,-15.510,-12.885
apixaban_4298,-15.508,-14.684,-14.459
udenafil_4141,-15.505,-14.902
piperaquine_4193,-15.500
rolitetracycline_2399,-15.497,-14.917,-14.372
quingestanolacetate_2345,-15.495,-15.245,-14.643
pentagestrone_3423,-15.487,-15.080,-14.433
grazoprevir_5081,-15.481,-15.018,-14.960
canagliflozin_4758,-15.480,-14.131,-14.090
selpercatinib_5393,-15.480,-14.098,-12.973
iodocholesterol131I_4578,-15.478,-15.339,-14.089
paricalcitol_2066,-15.475,-14.900,-14.884
flucloroloneacetonide_3232,-15.467,-14.935,-14.681
calcitriol_466,-15.464,-15.190,-14.991
irbesartan_1481,-15.464,-14.902,-14.860
cefsulodin_558,-15.456,-15.401,-14.099
fenoverine_1156,-15.456,-13.934,-13.658
doxazosin_954,-15.435,-14.816,-13.889
ergocalciferol_2838,-15.435,-15.141,-15.013
tretinointocoferil_2721,-15.422,-14.705,-14.417
voacamine_5100,-15.408,-14.961,-14.866
asunaprevir_4889,-15.406,-14.594,-14.497
fluocinoloneacetonide_1204,-15.402,-14.930,-14.731
ponazuril_5604,-15.399,-14.413,-13.764
olaparib_4907,-15.384,-15.371,-15.223
